ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
0	cosine	24.0	0.0	12.0	10.006404786458335	0.7494198611917076	0.0	12.0	11.10706589	8.90766774	2.1993981499999986	1.246910663284349	1.1596176406334489	0.8519551539622261	2.7301861885389218e-09	1.8019228844356883e-07
1	cosine	24.0	0.0	10.0	10.018679463749999	0.7279241694678084	24.0	10.0	11.07665762	8.921478017	2.1551796030000006	1.2415720353615485	1.1560291833488032	0.8918166834776337	5.127484166359002e-10	3.3841395497969414e-08
2	cosine	24.0	20.0	10.0	9.988880988250001	0.7150336296564025	20.0	34.0	11.04312479	8.747214793	2.2959099970000008	1.2624732616417873	1.1367416227055258	0.8571946154145236	2.2005380115565326e-09	1.4523550876273115e-07
3	cosine	24.0	22.0	8.0	10.012728706916667	0.7129487774944647	22.0	10.0	10.97179266	8.963823963	2.007968697000001	1.2240080467095626	1.1614528445929035	0.8718475148233189	1.1958945737410912e-09	7.892904186691202e-08
4	cosine	24.0	20.0	8.0	10.005070227749998	0.7452707998311384	46.0	32.0	11.03917854	8.911793995	2.127384545	1.2387156330356803	1.1562476332720377	0.9104585121742245	2.2877456754690885e-10	1.5099121458095985e-08
5	cosine	24.0	20.0	6.0	10.010927559541667	0.7192055028879074	20.0	6.0	11.03712959	8.924140004	2.1129895859999994	1.2367723483778728	1.1504881815734238	0.9158062130497047	1.8096151835629373e-10	1.1943460211515386e-08
6	cosine	24.0	18.0	6.0	9.97351140025	0.7169747736196613	18.0	30.0	10.99150714	8.983471961	2.008035179	1.223525513044121	1.1504631864846837	0.9323972715037239	8.670932462453916e-11	5.722815425219585e-09
7	cosine	24.0	16.0	6.0	10.011361222791665	0.7103419642328157	40.0	30.0	11.00445811	8.924833794	2.0796243160000003	1.23301546717857	1.160859188116655	0.8865004142321141	6.435650605984674e-10	4.247529399949885e-08
8	cosine	24.0	16.0	4.0	10.035361741083333	0.714176922225322	40.0	4.0	11.11746944	8.79494775	2.3225216900000003	1.264074529607069	1.1547014775887223	0.8665809935152257	1.4906324414901108e-09	9.838174113834732e-08
9	cosine	24.0	14.0	4.0	10.026568363375	0.7173543196128228	16.0	26.0	11.18814339	9.058859145	2.129284245000001	1.2350499340941017	1.1479635378393962	0.8791739645277166	8.783668277999509e-10	5.797221063479676e-08
10	cosine	24.0	14.0	2.0	10.005218028875	0.7170618620475953	14.0	2.0	11.15816344	8.858808047	2.299355392999999	1.259555843269306	1.147425800011439	0.8812068330682252	8.059373168138957e-10	5.319186290971711e-08
11	cosine	24.0	12.0	0.0	9.949833974416666	0.7095647458484762	12.0	0.0	11.08946706	8.867273818	2.2221932420000012	1.2506061375356528	1.1487214652177815	0.9031455923977246	3.1457658888087423e-10	2.07620548661377e-08
12	cosine	24.0	12.0	0.0	10.018014275666667	0.6926906439652691	12.0	22.0	11.08685106	8.885854548	2.2009965120000015	1.2476966621623797	1.1430852910810623	0.8227034748562269	8.894175979506954e-09	5.87015614647459e-07
13	cosine	24.0	22.0	12.0	10.003882909833335	0.7292671108656026	0.0	10.0	11.10706589	8.921478017	2.1855878729999993	1.2449804694732567	1.159148902421172	0.8205623668925354	9.682396553365199e-09	6.390381725221032e-07
14	cosine	24.0	22.0	10.0	10.005593930875	0.7101250480843112	0.0	12.0	11.10706589	8.984930407	2.122135482999999	1.236188304958565	1.1491161482419943	0.5813771222317337	3.4440747693490064e-05	0.002273089347770344
15	cosine	24.0	0.0	6.0	10.200433053708332	0.6886639463522755	0.0	8.0	11.10706589	8.962695783	2.1443701070000003	1.2392550365334654	1.1236246004641113	0.6250675931435491	9.377380133857909e-06	0.000618907088834622
16	cosine	24.0	20.0	18.0	7.312029716458333	3.1350470981916043	0.0	42.0	11.10706589	2.06191222	9.04515367	5.386779215072502	2.2501489559926737	0.2773216563242906	0.02881195020498228	1.9015887135288305
17	cosine	24.0	22.0	20.0	6.049780675125	3.6787427627354354	0.0	42.0	11.10706589	0.443307152	10.663758738	25.055011722436635	2.8057661929892976	0.33215986099954203	0.011483852877009561	0.757934289882631
18	cosine	24.0	18.0	20.0	5.36212310425	2.835131169637087	2.0	32.0	9.766233839	0.400992254	9.365241585	24.35516831454804	2.943955927033393	0.3586693421794159	0.0070353044355588755	0.4643300927468858
19	cosine	24.0	4.0	2.0	4.497956109666667	2.668585063159055	28.0	22.0	9.517804705	0.086895415	9.430909289999999	109.53172506282408	2.5173146645225652	0.21076445880646086	0.0745247925817003	4.91863631039222
20	cosine	24.0	12.0	10.0	5.995716381875	2.7749060636779452	36.0	42.0	9.60435619	0.22207901	9.38227718	43.247473905795964	1.9745858688635198	0.13286394439981683	0.1815197663058417	11.980304576185553
21	cosine	24.0	20.0	18.0	4.434268192833334	2.6920181266014045	28.0	42.0	9.741423377	0.488346297	9.25307708	19.947777707834245	2.7787277141725606	0.23295019131240413	0.055380662873957556	3.6551237496811986
22	cosine	24.0	6.0	8.0	5.581360146874999	2.8397994626262193	30.0	18.0	9.85694749	0.99922233	8.85772516	9.864618908186328	2.726787289435124	0.3100158702662392	0.016903200710028324	1.1156112468618695
23	cosine	24.0	12.0	10.0	4.681900927666667	2.677369167927106	22.0	10.0	9.065447641	0.851428841	8.2140188	10.647334462328837	3.5228220960517165	0.12548261415538256	0.19515484779068937	12.880219954185499
