ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
0	cosine	24.0	0.0	12.0	10.006404786458337	0.7494198611917076	0.0	12.0	11.10706589	8.90766774	2.1993981499999986	1.2469106632843492	1.1596176406334489	0.8519551539622261	2.7301861885389218e-09	1.8019228844356888e-07	0.000999000999000999	5.191944388036777e-07	1.0383888776073553e-06
1	cosine	24.0	0.0	10.0	10.01867946375	0.7279241694678084	24.0	10.0	11.07665762	8.921478017	2.155179603000001	1.2415720353615485	1.1560291833488032	0.8918166834776337	5.127484166359002e-10	3.3841395497969414e-08	0.000999000999000999	1.4486810207318375e-07	6.531581607486199e-07
2	cosine	24.0	20.0	10.0	9.988880988250001	0.7150336296564025	20.0	34.0	11.04312479	8.747214793	2.2959099970000008	1.2624732616417873	1.1367416227055258	0.8571946154145236	2.2005380115565326e-09	1.4523550876273115e-07	0.000999000999000999	4.3959628041192054e-07	9.59119157262372e-07
3	cosine	24.0	22.0	8.0	10.012728706916668	0.7129487774944647	22.0	10.0	10.97179266	8.963823963	2.0079686970000012	1.2240080467095626	1.1614528445929035	0.8718475148233189	1.1958945737410912e-09	7.892904186691202e-08	0.000999000999000999	2.7539948109024995e-07	7.343986162406665e-07
4	cosine	24.0	20.0	8.0	10.005070227749998	0.7452707998311384	46.0	32.0	11.03917854	8.911793995	2.127384545	1.2387156330356803	1.1562476332720375	0.9104585121742244	2.2877456754690885e-10	1.5099121458095982e-08	0.000999000999000999	7.912335422339188e-08	6.022087896365424e-07
5	cosine	24.0	20.0	6.0	10.010927559541667	0.7192055028879074	20.0	6.0	11.03712959	8.924140004	2.1129895859999994	1.2367723483778728	1.1504881815734238	0.9158062130497048	1.8096151835629373e-10	1.1943460211515386e-08	0.000999000999000999	6.646148439014902e-08	6.022087896365424e-07
6	cosine	24.0	18.0	6.0	9.97351140025	0.7169747736196613	18.0	30.0	10.99150714	8.983471961000001	2.008035179	1.2235255130441207	1.1504631864846837	0.932397271503724	8.670932462453916e-11	5.722815425219585e-09	0.000999000999000999	3.859628190429568e-08	6.022087896365424e-07
7	cosine	24.0	16.0	6.0	10.011361222791665	0.7103419642328157	40.0	30.0	11.00445811	8.924833794	2.0796243160000003	1.23301546717857	1.160859188116655	0.8865004142321141	6.435650605984673e-10	4.247529399949885e-08	0.000999000999000999	1.719852314739346e-07	6.531581607486199e-07
8	cosine	24.0	16.0	4.0	10.035361741083332	0.714176922225322	40.0	4.0	11.11746944	8.79494775	2.3225216900000003	1.264074529607069	1.1547014775887223	0.8665809935152257	1.4906324414901108e-09	9.838174113834732e-08	0.000999000999000999	3.2592595826753685e-07	7.822222998420884e-07
9	cosine	24.0	14.0	4.0	10.026568363375	0.7173543196128228	16.0	26.0	11.18814339	9.058859145	2.129284245000001	1.2350499340941017	1.1479635378393962	0.8791739645277166	8.783668277999509e-10	5.7972210634796764e-08	0.000999000999000999	2.1771938691620662e-07	6.531581607486199e-07
10	cosine	24.0	14.0	2.0	10.005218028875001	0.7170618620475953	14.0	2.0	11.15816344	8.858808047	2.299355392999999	1.259555843269306	1.147425800011439	0.8812068330682252	8.059373168138958e-10	5.3191862909717104e-08	0.000999000999000999	2.0394656556269172e-07	6.531581607486199e-07
11	cosine	24.0	12.0	0.0	9.949833974416666	0.7095647458484762	12.0	0.0	11.08946706	8.867273818	2.222193242000001	1.2506061375356528	1.1487214652177815	0.9031455923977246	3.145765888808743e-10	2.07620548661377e-08	0.000999000999000999	1.003681316060904e-07	6.022087896365424e-07
12	cosine	24.0	12.0	0.0	10.018014275666669	0.6926906439652691	12.0	22.0	11.08685106	8.885854548	2.200996512000001	1.2476966621623795	1.1430852910810625	0.8227034748562269	8.894175979506954e-09	5.87015614647459e-07	0.000999000999000999	1.304361577792272e-06	2.3907205206729217e-06
13	cosine	24.0	22.0	12.0	10.003882909833337	0.7292671108656026	0.0	10.0	11.10706589	8.921478017	2.185587873	1.2449804694732567	1.159148902421172	0.8205623668925354	9.682396553365199e-09	6.390381725221032e-07	0.000999000999000999	1.3945869703925376e-06	2.3907205206729217e-06
14	cosine	24.0	22.0	10.0	10.005593930875	0.7101250480843112	0.0	12.0	11.10706589	8.984930407	2.1221354829999988	1.236188304958565	1.1491161482419945	0.5813771222317337	3.4440747693490064e-05	0.002273089347770344	0.000999000999000999	0.0013684124691798016	0.0020526187037697026
15	cosine	24.0	0.0	6.0	10.200433053708332	0.6886639463522755	0.0	8.0	11.10706589	8.962695783	2.1443701070000003	1.2392550365334654	1.1236246004641113	0.6250675931435491	9.377380133857907e-06	0.000618907088834622	0.000999000999000999	0.00043041458294764285	0.0006886633327162285
16	cosine	24.0	20.0	18.0	7.3120297164583326	3.1350470981916043	0.0	42.0	11.10706589	2.06191222	9.04515367	5.386779215072502	2.2501489559926737	0.2773216563242906	0.02881195020498228	1.9015887135288303	0.4935064935064935	0.48326096969991617	0.5799131636398994
17	cosine	24.0	22.0	20.0	6.0497806751250005	3.678742762735435	0.0	42.0	11.10706589	0.44330715200000004	10.663758738	25.05501172243664	2.8057661929892976	0.33215986099954203	0.01148385287700956	0.757934289882631	0.26873126873126874	0.2457129538034419	0.32761727173792254
18	cosine	24.0	18.0	20.0	5.36212310425	2.835131169637087	2.0	32.0	9.766233839	0.400992254	9.365241585	24.355168314548038	2.9439559270333926	0.3586693421794159	0.0070353044355588755	0.4643300927468858	0.17582417582417584	0.16442692781283008	0.23213213338281893
